Date,Open,High,Low,Close,Adj Close,Volume,Name
10/03/1986,0.088542,0.102431,0.088542,0.100694,0.063628,1339948800,MSFT
17/03/1986,0.100694,0.103299,0.091146,0.092882,0.058692,367257600,MSFT
24/03/1986,0.092882,0.096354,0.089410,0.096354,0.060885,136972800,MSFT
31/03/1986,0.096354,0.098958,0.093750,0.096354,0.060885,100598400,MSFT
7/04/1986,0.096354,0.101563,0.092882,0.099826,0.063079,70070400,MSFT
14/04/1986,0.099826,0.105035,0.097222,0.101563,0.064177,96998400,MSFT
21/04/1986,0.101563,0.121962,0.098958,0.117188,0.074050,202233600,MSFT
28/04/1986,0.117188,0.118924,0.108507,0.110243,0.069662,164707200,MSFT
5/05/1986,0.110243,0.111979,0.108507,0.110243,0.069662,27763200,MSFT
12/05/1986,0.110243,0.114583,0.110243,0.111979,0.070759,39369600,MSFT
19/05/1986,0.111979,0.111979,0.107639,0.107639,0.068016,89568000,MSFT
26/05/1986,0.107639,0.123264,0.107639,0.121528,0.076793,102153600,MSFT
2/06/1986,0.121528,0.121528,0.116319,0.118924,0.075147,46598400,MSFT
9/06/1986,0.118924,0.118924,0.108507,0.109375,0.069113,40003200,MSFT
16/06/1986,0.109375,0.111979,0.107639,0.108941,0.068839,39283200,MSFT
23/06/1986,0.108941,0.111111,0.102431,0.103299,0.065274,105552000,MSFT
30/06/1986,0.103299,0.109375,0.102431,0.108507,0.068565,176688000,MSFT
7/07/1986,0.108507,0.108507,0.090278,0.097222,0.061434,138729600,MSFT
14/07/1986,0.094618,0.104167,0.094618,0.103299,0.065274,70416000,MSFT
21/07/1986,0.103299,0.109375,0.103299,0.108507,0.068565,69408000,MSFT
28/07/1986,0.108507,0.108507,0.096354,0.098090,0.061982,80812800,MSFT
4/08/1986,0.098090,0.098958,0.094618,0.096354,0.060885,41385600,MSFT
11/08/1986,0.098090,0.106771,0.098090,0.106337,0.067194,51062400,MSFT
18/08/1986,0.106337,0.106771,0.100694,0.102431,0.064725,109238400,MSFT
25/08/1986,0.102431,0.102431,0.097222,0.098958,0.062531,51667200,MSFT
1/09/1986,0.098958,0.105903,0.091146,0.105903,0.066919,89308800,MSFT
8/09/1986,0.105903,0.109375,0.098090,0.098090,0.061982,118137600,MSFT
15/09/1986,0.098090,0.105035,0.096354,0.103299,0.065274,43574400,MSFT
22/09/1986,0.103299,0.105035,0.099826,0.100694,0.063628,22723200,MSFT
29/09/1986,0.100694,0.100694,0.095486,0.098090,0.061982,81244800,MSFT
6/10/1986,0.100694,0.122396,0.100694,0.119792,0.075696,434044800,MSFT
13/10/1986,0.119792,0.125868,0.114583,0.125000,0.078987,249840000,MSFT
20/10/1986,0.125000,0.132378,0.122396,0.130208,0.082278,382320000,MSFT
27/10/1986,0.131076,0.139757,0.131076,0.134549,0.085021,429638400,MSFT
3/11/1986,0.135417,0.157986,0.135417,0.153646,0.097088,258595200,MSFT
10/11/1986,0.153646,0.153646,0.143229,0.147569,0.093248,123667200,MSFT
17/11/1986,0.147569,0.164063,0.140625,0.162326,0.102573,321955200,MSFT
24/11/1986,0.162326,0.177951,0.157118,0.172743,0.109155,349747200,MSFT
1/12/1986,0.172743,0.173611,0.167535,0.170139,0.107510,254246400,MSFT
8/12/1986,0.170139,0.171875,0.164063,0.164063,0.103670,103276800,MSFT
15/12/1986,0.164063,0.170139,0.157118,0.168403,0.106413,220694400,MSFT
22/12/1986,0.168403,0.172743,0.168403,0.171007,0.108058,52848000,MSFT
29/12/1986,0.171007,0.172743,0.162326,0.165799,0.104767,103104000,MSFT
5/01/1987,0.165799,0.202257,0.164931,0.201389,0.127256,274723200,MSFT
12/01/1987,0.201389,0.224826,0.199653,0.214410,0.135484,457027200,MSFT
19/01/1987,0.214410,0.269097,0.210069,0.234375,0.148100,726422400,MSFT
26/01/1987,0.236111,0.254340,0.228299,0.253906,0.160442,490780800,MSFT
2/02/1987,0.253906,0.258681,0.237847,0.239149,0.151117,226252800,MSFT
9/02/1987,0.238715,0.269965,0.231771,0.263889,0.166750,508550400,MSFT
16/02/1987,0.263889,0.269965,0.232639,0.236111,0.149197,604972800,MSFT
